     p_x	     p_y	     p_z	       v	       E	A	Z	polar angle
-0.801379	-0.882518	190.121 	0.459077	414.146 	392	162	47.7587
0.248525	2.36093 	185.494 	0.449294	412.89  	393	158	83.9909
-3.17257	-0.477044	186.703 	0.450738	414.278 	394	158	8.55124
1.80303 	-1.09229	184.581 	0.447521	412.478 	393	159	-31.2079
0.103451	-0.898006	186.133 	0.449591	414.01  	394	158	-83.4285
1.42392 	0.472007	185.445 	0.448274	413.699 	394	162	18.3395
-2.03277	3.91183 	187.863 	0.45301 	414.813 	394	158	-62.5416
1.30401 	-0.152542	184.243 	0.446849	412.325 	393	157	-6.67211
0.708671	-0.210401	190.476 	0.4579  	415.98  	394	158	-16.5359
2.49612 	-0.438714	187.365 	0.45199 	414.572 	394	158	-9.96841
-1.33278	-1.73527	188.353 	0.453876	415.017 	394	159	52.4738
0.018795	-3.01691	190.926 	0.458798	416.197 	394	158	-89.6431
-0.396336	2.57656 	196.344 	0.468973	418.705 	394	160	-81.2552
0.488949	-0.818851	182.061 	0.442597	411.352 	393	159	-59.158
4.0682  	-0.780571	184.914 	0.447328	413.479 	394	163	-10.8614
0.717137	-1.02013	189.292 	0.455654	415.439 	394	160	-54.8934
2.43177 	-2.60916	182.382 	0.442382	412.351 	394	159	-47.0155
0.507044	-0.044208	184.2   	0.446761	412.302 	393	160	-4.98289
-2.39111	1.64605 	184.708 	0.447789	412.539 	393	160	-34.5437
-1.74746	-0.480544	187.734 	0.452679	414.737 	394	156	15.376
0.74124 	-1.32962	183.857 	0.445199	412.991 	394	161	-60.8611
1.40601 	-0.305459	182.609 	0.442769	412.437 	394	160	-12.2572
-2.03069	1.13508 	187.485 	0.453131	413.786 	393	160	-29.2036
-1.20748	2.40616 	187.023 	0.451338	414.417 	394	160	-63.3512
1.4658  	-2.22429	189.324 	0.455741	415.462 	394	158	-56.6152
1.50107 	-0.500429	186.101 	0.450451	413.159 	393	158	-18.4375
-0.853789	2.02913 	191.41  	0.460615	415.58  	393	158	-67.1804
2.04925 	-2.44398	190.005 	0.457053	415.775 	394	159	-50.0206
-0.133526	-2.50757	187.291 	0.45276 	413.702 	393	157	86.952
-1.63424	2.62901 	186.658 	0.451563	413.417 	393	160	-58.1343
-0.4926 	-0.040151	185.67  	0.448694	413.802 	394	157	4.65979
2.4313  	1.18853 	190.329 	0.458574	415.087 	393	157	26.0516
4.72853 	-0.279801	185.212 	0.447927	413.623 	394	158	-3.38641
0.490259	1.01244 	182.883 	0.4433  	412.557 	394	161	64.1622
-3.93205	2.48019 	181.84  	0.441374	412.121 	394	160	-32.2422
-1.46997	-0.197112	187.98  	0.453151	414.843 	394	161	7.63737
3.63949 	-4.21587	182.141 	0.442912	411.426 	393	157	-49.1965
1.04986 	-1.40391	188.659 	0.454452	415.154 	394	159	-53.2106
-1.53368	-0.487798	187.316 	0.452789	413.71  	393	156	17.6436
-0.615153	-1.75012	187.738 	0.453606	413.898 	393	160	70.6339
0.142955	1.02964 	186.033 	0.4494  	413.965 	394	158	82.0957
-0.725215	1.16845 	184.556 	0.44655 	413.305 	394	158	-58.1737
1.07003 	0.540081	186.581 	0.451371	413.373 	393	159	26.7817
0.518143	-0.249541	188.525 	0.454184	415.087 	394	162	-25.7158
2.09759 	0.30016 	187.445 	0.452135	414.604 	394	160	8.1436
-1.99312	2.06786 	189.485 	0.456056	415.533 	394	162	-46.0544
1.16999 	2.78435 	187.831 	0.453813	413.949 	393	158	67.2078
-0.247652	-0.541535	192.871 	0.463356	416.251 	393	157	65.4247
0.055171	2.60629 	181.71  	0.441943	411.204 	393	159	88.7874
-0.265908	1.99046 	185.485 	0.448359	413.721 	394	160	-82.3909
0.010443	-0.137253	186.319 	0.450859	413.253 	393	159	-85.6491
1.91527 	0.156556	187.721 	0.452656	414.732 	394	156	4.67302
-2.4506 	2.08584 	188.369 	0.453935	415.03  	394	160	-40.403
-1.28331	-4.18153	187.922 	0.453124	414.838 	394	160	72.9388
-0.155871	0.582988	185.46  	0.448294	413.705 	394	161	-75.0313
-2.04599	1.79017 	188.248 	0.453691	414.97  	394	162	-41.1847
1.00409 	3.39602 	188.988 	0.456042	414.481 	393	156	73.5289
0.76984 	-3.97335	185.526 	0.448501	413.757 	394	157	-79.0348
-2.29659	-3.61423	186.008 	0.449441	413.975 	394	158	57.5669
0.052533	-1.01876	180.768 	0.439163	411.625 	394	159	-87.0482
0.19283 	-1.33874	185.957 	0.449255	413.933 	394	157	-81.8037
0.76508 	2.50693 	186.468 	0.451183	413.328 	393	160	73.0286
-3.00807	2.93072 	185.12  	0.447724	413.576 	394	158	-44.2538
1.01437 	2.36345 	186.448 	0.45023 	414.156 	394	161	66.7716
-2.5547 	-1.95378	190.508 	0.458009	416.007 	394	158	37.4081
1.08342 	-0.536334	188.893 	0.454889	415.259 	394	158	-26.3372
1.58403 	5.72012 	189.712 	0.45662 	415.673 	394	158	74.5214
0.97531 	0.573475	184.226 	0.44591 	413.154 	394	161	30.4552
-0.519915	-0.185549	186.086 	0.449501	413.984 	394	162	19.6407
-0.408088	-0.093659	184.782 	0.448801	411.725 	392	157	12.9259
1.00887 	1.39513 	182.768 	0.44308 	412.513 	394	156	54.1281
1.71729 	-0.619426	192.241 	0.461257	416.795 	394	158	-19.8344
-0.265655	-0.885708	182.777 	0.443088	412.512 	394	158	73.3042
2.39623 	1.66509 	182.844 	0.444166	411.711 	393	157	34.7946
2.56597 	3.08575 	187.479 	0.45226 	414.632 	394	161	50.2547
-2.08681	0.468586	183.359 	0.444243	412.772 	394	161	-12.6557
0.539986	-1.37921	188.382 	0.453916	415.029 	394	157	-68.6188
2.51985 	3.20888 	181.994 	0.443456	410.502 	392	157	51.8585
-0.894054	1.00146 	186.117 	0.449566	414.002 	394	160	-48.2431
1.45053 	-0.198988	185.104 	0.449435	411.871 	392	158	-7.81128
0.469277	-1.3853 	183.319 	0.444153	412.752 	394	160	-71.286
0.558109	-0.665103	183.979 	0.445429	413.042 	394	162	-49.999
-0.321219	-1.34457	186.851 	0.450981	414.333 	394	160	76.5639
0.972412	-0.78485	187.206 	0.452576	413.655 	393	160	-38.9076
-0.323417	0.020902	185.232 	0.44876 	412.764 	393	159	-3.69781
-0.800245	-0.454333	192.478 	0.461695	416.9   	394	160	29.5854
2.16396 	0.984418	190.593 	0.45907 	415.204 	393	160	24.4615
0.798923	0.421616	186.748 	0.450773	414.289 	394	156	27.822
3.65485 	-0.562058	187.686 	0.452643	414.726 	394	158	-8.7427
