# proton+antiproton -> gamma* -> electron+positron 
# E=[2:5] [GeV] , Q=[1:E] [GeV] , sigma [nbarn * GeV-2] 
# N_E=100 , N_Q = 100 , Num. of Rows = N_E*N_Q  
     100     100
2.102400E+000 1.066100E+000 3.640362E-002 
2.102400E+000 1.077200E+000 3.095404E-002 
2.102400E+000 1.088200E+000 2.628726E-002 
2.102400E+000 1.099200E+000 2.229536E-002 
2.102400E+000 1.110200E+000 1.888410E-002 
2.102400E+000 1.121300E+000 1.597254E-002 
2.102400E+000 1.132300E+000 1.349038E-002 
2.102400E+000 1.143300E+000 1.137720E-002 
2.102400E+000 1.154300E+000 9.580560E-003 
2.102400E+000 1.165400E+000 8.055240E-003 
2.102400E+000 1.176400E+000 6.762480E-003 
2.102400E+000 1.187400E+000 5.667700E-003 
2.102400E+000 1.198400E+000 4.742780E-003 
2.102400E+000 1.209500E+000 3.962260E-003 
2.102400E+000 1.220500E+000 3.304898E-003 
2.102400E+000 1.231500E+000 2.751922E-003 
2.102400E+000 1.242500E+000 2.287638E-003 
2.102400E+000 1.253500E+000 1.898518E-003 
2.102400E+000 1.264600E+000 1.573010E-003 
2.102400E+000 1.275600E+000 1.301158E-003 
2.102400E+000 1.286600E+000 1.074564E-003 
2.102400E+000 1.297600E+000 8.859320E-004 
2.102400E+000 1.308700E+000 7.292200E-004 
2.102400E+000 1.319700E+000 5.992220E-004 
2.102400E+000 1.330700E+000 4.915680E-004 
2.102400E+000 1.341700E+000 4.025720E-004 
2.102400E+000 1.352800E+000 3.291066E-004 
2.102400E+000 1.363800E+000 2.684586E-004 
2.102400E+000 1.374800E+000 2.185912E-004 
2.102400E+000 1.385800E+000 1.776652E-004 
2.102400E+000 1.396900E+000 1.441378E-004 
2.102400E+000 1.407900E+000 1.167208E-004 
2.102400E+000 1.418900E+000 9.434260E-005 
2.102400E+000 1.429900E+000 7.610640E-005 
2.102400E+000 1.441000E+000 6.127880E-005 
