 # (omega,eta,kaon) + n(L) -> elastic amplitude
 # cm energy window: srtmin=1.400 GeV; srtmax=1.900 GeV; momentum cutoff=500.000 GeV/c)
 # min energy for S wave pi N scatt.  1.2
 # Delta pi with Delta width is included
 # with delta formfactor
 # Lambda-K^o included in the fit
 # Sigma+ K^+ included in the fit
 # in d33 1 delta chan.
 # uniform scaling energy dependence
 # Constraint in the S31 rhoN -1
 # Constraint in the K crosssec
 # No Suppress of couplings > 100
 # omega m-dep. width included
 # min. exp. errorbar for amplitude set to  0.1
 # min.phasesh.abs.errorbar set to  1.
 # errorbars in s31phase multiplied with  0.5
 # max energy for omega prod.  1.798
 # min energy for omega prod.  1.73
 # max energy for rho prod.  1.8
 # max energy for Lambda K prod.  1.68
 # max energy for Sigma K prod.  1.9

# x: srt [GeV]
# y: amplitude [?]

#  7th best fit with chisq=    946.03
# elastic:                omega+n                       eta+n              K^0+Lambda   
#  srt     Re(T11)   Im(T11)   Re(T13)   Im(T13)   Re(T11)   Im(T11)   Re(T11)   Im(T11)
  1.142  0.447E+02  0.473E+01  0.617E+02  0.157E-01  0.138E+01  0.325E+01  0.506E+02  0.301E+01
  1.143  0.447E+02  0.477E+01  0.619E+02  0.165E-01  0.135E+01  0.327E+01  0.507E+02  0.302E+01
  1.144  0.448E+02  0.480E+01  0.621E+02  0.173E-01  0.132E+01  0.329E+01  0.507E+02  0.304E+01
  1.145  0.449E+02  0.484E+01  0.622E+02  0.182E-01  0.129E+01  0.331E+01  0.507E+02  0.305E+01
  1.146  0.449E+02  0.488E+01  0.624E+02  0.191E-01  0.126E+01  0.332E+01  0.508E+02  0.307E+01
  1.147  0.450E+02  0.491E+01  0.626E+02  0.200E-01  0.123E+01  0.334E+01  0.508E+02  0.308E+01
  1.148  0.451E+02  0.495E+01  0.628E+02  0.209E-01  0.120E+01  0.336E+01  0.508E+02  0.310E+01
  1.149  0.451E+02  0.498E+01  0.630E+02  0.219E-01  0.118E+01  0.338E+01  0.509E+02  0.311E+01
  1.150  0.452E+02  0.502E+01  0.632E+02  0.229E-01  0.115E+01  0.340E+01  0.509E+02  0.312E+01
  1.151  0.452E+02  0.505E+01  0.634E+02  0.240E-01  0.112E+01  0.342E+01  0.509E+02  0.314E+01
  1.152  0.453E+02  0.509E+01  0.636E+02  0.250E-01  0.109E+01  0.343E+01  0.510E+02  0.315E+01
  1.153  0.454E+02  0.512E+01  0.638E+02  0.262E-01  0.106E+01  0.345E+01  0.510E+02  0.316E+01
  1.154  0.454E+02  0.515E+01  0.640E+02  0.273E-01  0.104E+01  0.347E+01  0.510E+02  0.317E+01
  1.155  0.455E+02  0.519E+01  0.641E+02  0.285E-01  0.101E+01  0.348E+01  0.511E+02  0.318E+01
  1.156  0.456E+02  0.522E+01  0.643E+02  0.298E-01  0.980E+00  0.350E+01  0.511E+02  0.320E+01
  1.157  0.456E+02  0.525E+01  0.645E+02  0.310E-01  0.953E+00  0.352E+01  0.512E+02  0.321E+01
  1.158  0.457E+02  0.529E+01  0.647E+02  0.324E-01  0.925E+00  0.353E+01  0.512E+02  0.322E+01
  1.159  0.458E+02  0.532E+01  0.649E+02  0.337E-01  0.898E+00  0.355E+01  0.512E+02  0.323E+01
  1.160  0.458E+02  0.535E+01  0.651E+02  0.351E-01  0.871E+00  0.356E+01  0.513E+02  0.324E+01
  1.161  0.459E+02  0.538E+01  0.653E+02  0.366E-01  0.844E+00  0.358E+01  0.513E+02  0.325E+01
  1.162  0.459E+02  0.541E+01  0.655E+02  0.381E-01  0.817E+00  0.359E+01  0.513E+02  0.326E+01
  1.163  0.460E+02  0.544E+01  0.657E+02  0.396E-01  0.790E+00  0.361E+01  0.514E+02  0.327E+01
  1.164  0.461E+02  0.548E+01  0.659E+02  0.412E-01  0.763E+00  0.362E+01  0.514E+02  0.328E+01
  1.165  0.461E+02  0.551E+01  0.662E+02  0.428E-01  0.737E+00  0.364E+01  0.515E+02  0.329E+01
  1.166  0.462E+02  0.554E+01  0.664E+02  0.445E-01  0.710E+00  0.365E+01  0.515E+02  0.330E+01
  1.167  0.463E+02  0.557E+01  0.666E+02  0.463E-01  0.684E+00  0.367E+01  0.515E+02  0.331E+01
  1.168  0.463E+02  0.560E+01  0.668E+02  0.481E-01  0.658E+00  0.368E+01  0.516E+02  0.331E+01
  1.169  0.464E+02  0.563E+01  0.670E+02  0.499E-01  0.632E+00  0.369E+01  0.516E+02  0.332E+01
  1.170  0.465E+02  0.566E+01  0.672E+02  0.518E-01  0.606E+00  0.371E+01  0.516E+02  0.333E+01
  1.171  0.465E+02  0.569E+01  0.674E+02  0.538E-01  0.581E+00  0.372E+01  0.517E+02  0.334E+01
  1.172  0.466E+02  0.572E+01  0.676E+02  0.558E-01  0.555E+00  0.373E+01  0.517E+02  0.335E+01
