     p_x	     p_y	     p_z	       v	       E	A	Z	polar angle
0.279096	0.54933 	19.8835 	0.990122	20.0915 	3	0	63.0665
0.424245	0.765252	20.3322 	0.995769	20.4375 	2	0	60.9967
0.592859	1.3024  	21.0083 	0.99117 	21.2446 	3	0	65.5247
0.874911	1.13001 	23.3417 	0.992828	23.5544 	3	1	52.2512
0.664925	0.452349	23.8224 	0.996914	23.9098 	2	1	34.2275
1.06605 	0.370123	23.9514 	0.99695 	24.0513 	2	1	19.1465
1.5017  	0.165835	24.9587 	0.997191	25.0748 	2	0	6.30174
1.9141  	0.195174	25.6195 	0.997339	25.7601 	2	0	5.82212
1.82231 	0.490156	26.1142 	0.99744 	26.2495 	2	1	15.0548
1.55881 	-0.261425	26.8321 	0.997568	26.9442 	2	0	-9.5204
1.76472 	0.216815	28.5276 	0.997853	28.6444 	2	2	7.0043
2.48605 	0.09456 	30.4259 	0.995772	30.657  	3	1	2.17827
2.25182 	0.109977	31.554  	0.998243	31.6901 	2	0	2.79605
2.55613 	-0.02081	33.4205 	0.996489	33.6362 	3	1	-0.466448
2.53152 	0.043436	34.2815 	0.998511	34.4261 	2	0	0.982988
2.27211 	-0.261804	36.7259 	0.997087	36.9045 	3	2	-6.57292
2.2354  	-0.628566	37.2102 	0.998736	37.3298 	2	2	-15.7053
2.33269 	-0.341919	39.1095 	0.998854	39.2255 	2	1	-8.33888
2.14178 	-0.250225	41.0293 	0.998958	41.1288 	2	1	-6.66369
1.89953 	-0.435587	41.8199 	0.998995	41.9073 	2	0	-12.9154
1.50445 	-0.401651	43.3811 	0.999065	43.4496 	2	0	-14.948
0.944776	-0.472972	44.8888 	0.999127	44.9405 	2	1	-26.5934
-0.224011	0.00576 	0.295989	0.194028	1.91336 	2	1	-1.47292
0.879169	0.077324	0.981797	0.575499	2.29395 	2	2	5.02631
1.28842 	0.272638	2.46554 	0.597428	4.67876 	4	4	11.9479
1.77315 	0.542613	4.43346 	0.862784	5.56991 	3	1	17.015
1.41161 	0.431313	5.61817 	0.951604	6.10425 	2	2	16.9904
0.961949	0.586663	5.90162 	0.954551	6.29428 	2	2	31.3778
1.00602 	0.694947	6.31176 	0.959966	6.69721 	2	2	34.6362
0.730984	1.38188 	7.67026 	0.570746	13.7153 	12	6	62.1222
0.55166 	1.38459 	7.65331 	0.972226	8.01983 	2	1	68.2762
0.161867	1.254   	7.78893 	0.941824	8.3783  	3	1	82.645
0.184787	1.12689 	7.94124 	0.905708	8.85818 	4	1	80.6876
-0.281775	1.30271 	8.11445 	0.9461  	8.69166 	3	2	-77.795
0.242196	1.26388 	9.24163 	0.980361	9.51772 	2	1	79.1521
0.20563 	1.70579 	10.5901 	0.985038	10.8915 	2	1	83.1263
0.417207	1.34774 	11.2228 	0.97038 	11.6564 	3	1	72.7996
0.870402	1.82026 	11.3831 	0.987074	11.7119 	2	1	64.4441
1.23291 	1.86113 	12.0428 	0.974573	12.5675 	3	1	56.4775
0.627415	2.23006 	14.6944 	0.982562	15.1399 	3	2	74.2864
0.492757	2.22402 	16.1574 	0.993449	16.4248 	2	1	77.5073
0.628699	1.69743 	18.8526 	0.980897	19.3081 	4	0	69.6763
0.813723	2.05709 	19.5781 	0.989947	19.9027 	3	2	68.4177
0.515336	1.77873 	19.9131 	0.995625	20.0869 	2	1	73.8426
1.34692 	1.42278 	20.5361 	0.990805	20.8208 	3	0	46.5689
1.69864 	1.54027 	20.9111 	0.996043	21.12   	2	1	42.2007
1.31601 	1.32517 	23.3937 	0.992873	23.6366 	3	0	45.1987
1.49285 	1.60727 	23.7728 	0.996924	23.9475 	2	1	47.1138
1.39444 	2.04818 	24.1278 	0.997016	24.3273 	2	0	55.7522
1.13476 	2.08223 	25.9503 	0.989787	26.3272 	4	3	61.4108
