       p_x	       p_y	       p_z	       v	       E	A	Z	polar angle
 -0.346376	   -0.2324	  0.948581	0.741376	0.459725	1	1	146.141
  0.405608	  0.181683	  0.867329	0.720126	0.414332	1	0	24.1289
 -0.477004	  0.055864	   0.84702	0.719817	0.413707	1	0	173.32
  0.636313	 -0.482748	  0.506864	0.709715	0.393881	1	0	37.1863
   -2.3951	  -2.34629	   137.513	0.363151	 25.8591	376	145	135.59
  -0.07331	  0.542597	  0.066911	0.506908	0.150167	1	1	97.6947
  0.383569	  0.016683	 -0.191772	 0.41605	0.0935154	1	1	2.49046
  0.145876	 -0.462846	  0.714886	0.677516	0.337309	1	1	72.5067
 -0.121249	  0.496465	   0.65034	0.661383	0.312586	1	1	103.724
   0.62713	  0.152892	  0.501608	0.657016	0.306236	1	1	13.7012
 -0.398038	  0.310862	  0.183489	0.496677	0.142877	1	0	142.011
 -0.185572	  0.598352	  0.513306	0.653135	0.301027	1	0	107.231
  0.330358	 -0.590508	  0.500924	0.667553	0.322143	1	0	60.7753
  0.082066	 -0.539722	  0.244288	0.537631	0.174455	1	1	81.3543
 -0.377904	 -0.527218	   1.98839	0.744243	0.933263	2	1	125.633
  0.603221	  0.026401	  0.629796	 0.68107	0.343038	1	1	2.50605
 -0.522228	 -0.295067	  0.228132	0.564655	0.198519	1	1	150.533
 -0.640045	  0.091254	   0.24434	0.593194	0.227131	1	1	171.886
  0.376405	  0.205973	  0.746666	0.676295	0.335366	1	1	28.688
 -0.357633	  0.047795	  0.958345	0.737399	0.450688	1	1	172.388
 -0.448088	 -0.102659	  0.000664	0.439697	0.106487	1	0	167.096
  0.241616	  0.427382	  0.619289	0.643921	0.288303	1	0	60.5189
  -1.07806	   3.20058	   137.534	0.361533	 25.7396	378	147	108.615
  0.275143	 -0.190809	 -0.170631	0.371904	0.0724804	1	1	34.741
   0.48175	  -0.35819	  0.632429	0.680862	  0.3427	1	1	36.6315
 -0.532279	 -0.239614	  0.803097	0.726892	0.427849	1	1	155.764
  0.043771	 -0.276086	 -0.393435	0.457519	0.116881	1	1	80.9913
 -0.461461	  0.120175	  0.149559	0.470214	0.124827	1	1	165.403
  0.151829	 -0.598131	  0.893754	0.756476	0.496733	1	0	75.757
 -0.223285	 -0.228044	  -0.41221	0.485398	 0.13501	1	0	134.396
 -0.208666	  0.180116	   1.16621	0.787453	0.583802	1	1	139.2
 -0.018586	 -0.762838	  0.789026	0.760228	 0.50584	1	1	91.3958
  0.593339	  0.827644	  0.449793	0.510332	0.305453	2	2	54.3633
 -0.514927	  0.304988	  0.690267	0.697722	0.371382	1	1	149.362
 -0.182005	  0.550556	  0.573978	0.655893	0.304949	1	0	108.293
  0.158586	 -0.684865	   1.66945	0.694233	0.731239	2	0	76.9625
  0.301431	 -0.502188	  0.699732	 0.69692	0.370351	1	0	59.0264
  0.267452	   -1.2102	   135.369	0.357318	 25.0116	377	150	77.5381
 -0.445393	  0.224953	  0.587133	 0.63475	0.275898	1	1	153.203
 -0.641948	   1.03358	  0.684693	0.596817	0.462297	2	1	121.844
  0.231555	  0.180803	 -0.175893	0.342911	0.0605438	1	1	37.9835
 -0.476533	  0.136046	 -0.033738	0.467595	0.123286	1	0	164.067
 -0.440514	  0.083737	  0.744832	0.679385	0.340672	1	0	169.237
 -0.429189	   -0.1611	  0.664178	  0.6518	0.299148	1	0	159.426
 -0.365622	  0.501837	  0.150727	 0.56256	0.196764	1	0	126.076
  0.530755	  0.452411	  0.358337	0.641349	0.284549	1	1	40.444
 -0.327901	  -0.42555	  0.903351	0.746084	0.470722	1	1	127.616
 -0.502227	 -0.482142	  0.405059	0.651472	 0.29837	1	1	136.169
  0.610537	 -0.017107	  0.115846	0.552442	0.187305	1	1	1.60499
 -0.497512	 -0.348202	  0.552954	0.658751	0.308742	1	1	145.012
  0.412007	  0.401067	  0.796377	0.722843	0.419875	1	0	44.2292
  0.406906	 -0.416302	  0.373486	 0.59306	 0.22723	1	0	45.654
  0.333711	 -0.015101	  0.772506	0.667447	0.321983	1	0	2.59097
   0.34534	 -0.101909	   1.00927	0.752099	0.485778	1	0	16.4412
  -2.28628	   3.87281	   138.614	0.359123	 25.7622	384	155	120.555
 -0.478132	 -0.230973	  0.786143	0.711095	  0.3961	1	1	154.216
 -0.086505	  0.422085	   0.57988	0.610182	0.245953	1	1	101.582
 -0.169198	  0.597993	  0.652176	0.692302	 0.36226	1	0	105.799
  0.440488	 -0.395253	  0.605351	0.669613	0.325289	1	0	41.9019
 -0.382684	 -0.006814	   0.83226	0.698687	0.373104	1	1	178.98
 -0.015464	 -0.372024	  0.974082	0.743131	0.464281	1	0	92.3803
 -0.613786	 -0.112346	  0.300814	 0.59365	0.227861	1	0	169.628
  0.996335	 -0.170822	  0.266903	0.743988	0.466284	1	0	9.7288
  0.790738	 -0.068806	  0.764519	0.761166	 0.50883	1	0	4.97307
