       p_x	       p_y	       p_z	       v	       E	A	Z	polar angle
  0.068132	  0.004176	 -0.015537	0.0743472	0.00260597	1	0	3.50743
 -0.158373	  -0.31745	   0.86322	0.704942	0.384906	1	0	116.514
  0.110919	  -0.24356	   0.78882	0.663614	0.316222	1	0	65.5152
 -0.592537	  0.590425	  0.531436	0.332178	0.169408	3	3	135.102
  0.119081	 -0.159082	  0.040788	0.211164	0.0216623	1	0	53.1833
  0.004107	 -0.180046	  0.507578	0.497537	0.143492	1	0	88.6933
  0.034947	 -0.210613	 -0.036626	 0.22478	0.0246605	1	0	80.5788
 -0.272875	 -0.430814	  0.589756	0.638811	0.281489	1	0	122.35
 -0.340927	  0.084626	   1.00458	0.749845	0.480259	1	0	166.06
 -0.078346	 -0.086076	  0.536723	0.504864	0.148814	1	0	132.308
 -0.015299	 -0.202698	   0.16293	0.267338	0.0354679	1	0	94.3164
  0.236399	 -0.137986	  0.309806	0.402939	0.0869753	1	0	30.2721
 -0.069647	 -0.081837	  0.089809	0.147515	0.0103865	1	0	130.399
  0.066065	 -0.156836	  0.479961	0.476728	0.129197	1	0	67.1575
  0.315932	 -0.368612	  0.120897	0.470225	0.124967	1	0	49.4006
 -0.201054	 -0.185631	  0.382984	0.448127	0.111371	1	0	137.284
  0.509419	  0.184417	  0.258554	0.538637	 0.17549	1	0	19.901
  0.082055	 -0.188393	  0.268206	0.338573	0.0589381	1	0	66.4644
 -0.003583	   0.08508	 -0.017773	0.0922465	0.00402085	1	0	92.4116
 -0.394251	 -0.049684	  0.835475	0.701838	0.379196	1	0	172.818
 -0.339413	  0.242125	  0.991112	0.753212	0.488533	1	0	144.497
  0.272373	  -0.31234	  0.221911	0.447666	0.111099	1	0	48.9103
  0.007183	 -0.441849	  0.755589	0.681871	0.344713	1	0	89.0687
  0.047919	 -0.187529	  0.381915	0.414882	0.0930094	1	0	75.6661
  0.322284	 -0.311378	  0.531122	0.594876	0.229176	1	0	44.014
 -0.069829	 -0.171378	  0.194747	0.275066	0.0376749	1	0	112.169
   -0.0137	  0.176882	 -0.028609	0.187966	0.017041	1	0	94.429
  0.259992	  0.158284	  0.639908	0.602371	0.237373	1	0	31.3332
 -0.311693	 -0.044281	  0.236323	0.386625	0.0791763	1	0	171.914
 -0.060728	 -0.394496	  0.294115	0.466919	0.122857	1	0	98.7514
  0.080086	 -0.444359	  0.073901	0.438397	0.105635	1	1	79.7834
 -0.251877	  0.066806	  0.569376	0.555216	0.189802	1	1	165.145
 -0.123811	 -0.462062	  0.826247	 0.71333	0.400416	1	1	105
 -0.232695	 -0.197123	   1.93712	0.722407	0.837513	2	1	139.731
 -0.432154	  0.357556	  0.610513	0.662253	0.313868	1	1	140.396
 -0.240799	 -0.583515	  0.928429	 0.51352	0.310282	2	2	112.425
 -0.194993	  0.681908	  0.564627	0.694948	 0.36648	1	1	105.958
  0.131695	  0.051689	  0.777015	0.644086	0.288218	1	1	21.4295
  0.291918	 -0.489061	   5.53986	 0.76469	 2.58976	5	2	59.1673
  0.262119	   0.20456	  0.886885	0.710535	0.395027	1	1	37.9688
  0.148044	  -0.40211	  0.444519	0.549812	0.184965	1	1	69.788
 -0.032699	  0.264488	 -0.031849	0.275098	0.0376441	1	1	97.0479
 -0.392386	  -1.12922	   2.96347	0.562905	0.984803	5	3	109.162
 -0.135029	  -0.17639	   1.02289	0.744728	0.467522	1	1	127.435
 -0.149865	  0.286107	  0.797928	0.676144	0.335126	1	1	117.646
  0.050078	  0.308538	  0.573251	0.571306	0.204875	1	1	80.7809
  0.156937	  -0.30965	  0.718097	0.647793	0.293267	1	1	63.1232
